"area","autonomous_region","description","has_doorman","has_garden","has_lift","has_parking","has_storage","has_swimming_pool","is_residential","latitude","longitude","neighbors_per_floor","number","postal_code","province","reference","street","structures","total_floors","town","typology","year_built"
708,Extremadura,Inmueble,,,,,true,,true,38.28279,-5.832084,1,"1",6930,badajoz,"2412003TH5421S0001ZS",Paseo Extremadura,"[{""area"": 74, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""AAL""}, {""area"": 106, ""floor"": ""01"", ""door"": ""02"", ""typology"": ""AAL""}, {""area"": 299, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 193, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 36, ""floor"": ""01"", ""door"": ""03"", ""typology"": ""YPO""}]",2,berlanga-badajoz,V,1938
714,Extremadura,Inmueble,,,,,,,false,38.282944,-5.832014,,"3",6930,badajoz,"2412002TH5421S0001SS",Paseo Extremadura,"[{""area"": 357, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""PAA""}, {""area"": 357, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""PAA""}]",,berlanga-badajoz,P,
476,Extremadura,Inmueble,,,,,,,false,38.28316,-5.8319693,,"4",6930,badajoz,"2412001TH5421S0001ES",Paseo Extremadura,"[{""area"": 238, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""ECL""}, {""area"": 238, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""ECL""}]",,berlanga-badajoz,E,
110,Castilla La Mancha,Inmueble,,,,,true,,true,38.99929,-1.8870757,1,"567",2006,albacete,"334049BXJ0134A0001ZK",Terrenos Diseminados,"[{""area"": 22, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 88, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}]",1,albacete-albacete,V,1972
0,Castilla La Mancha,Bajo,,true,,,,,false,38.999184,-1.8864282,1,"568",2006,albacete,"02900A053003180000JR",Terrenos Diseminados,"[]",1,albacete-albacete,Z,1980
35,Castilla La Mancha,Esc.E Bajo 001,,true,,,,,true,38.999184,-1.8864282,1,"568",2006,albacete,"02900A053003180001KT",Terrenos Diseminados,"[{""area"": 35, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}]",1,albacete-albacete,V,1980
387,Castilla La Mancha,Inmueble,,true,,true,true,,true,38.97371,-1.8781946,1,"568-A",2006,albacete,"397084BXJ0137B0001OO",Terrenos Diseminados,"[{""area"": 98, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 20, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAP""}, {""area"": 173, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}, {""area"": 96, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}]",1,albacete-albacete,V,1992
402,Castilla La Mancha,Inmueble,,true,,,true,true,true,38.99934,-1.88596,1,"569",0,albacete,"02900A053003190001KF",Terrenos Diseminados,"[{""area"": 47, ""floor"": ""-1"", ""door"": ""003"", ""typology"": ""AAL""}, {""area"": 84, ""floor"": ""00"", ""door"": ""002"", ""typology"": ""KPS""}, {""area"": 196, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}, {""area"": 75, ""floor"": ""01"", ""door"": ""001"", ""typology"": ""V""}]",2,albacete-albacete,V,1988
247,Castilla La Mancha,Inmueble,,true,,true,true,true,true,38.97317,-1.8773719,1,"569-A",2006,albacete,"000300600WJ91D0001QF",Terrenos Diseminados,"[{""area"": 18, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 12, ""floor"": ""-1"", ""door"": ""001"", ""typology"": ""AAP""}, {""area"": 57, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""KPS""}, {""area"": 160, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}]",1,albacete-albacete,V,2002
218,Extremadura,Inmueble,,,,,true,,true,38.283096,-5.8314576,1,"5",6930,badajoz,"2512507TH5421S0001MS",Paseo Extremadura,"[{""area"": 87, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 44, ""floor"": ""02"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 87, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}]",1,berlanga-badajoz,V,1920
346,Extremadura,Inmueble,,,,,,,true,38.282993,-5.8313465,1,"7",6930,badajoz,"2512505TH5421S0001TS",Paseo Extremadura,"[{""area"": 173, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 173, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}]",2,berlanga-badajoz,V,1950
134,Extremadura,Esc.1 1º 01,,,,,,,true,38.283096,-5.8313084,1,"8",6930,badajoz,"2512504TH5421S0003ZF",Paseo Extremadura,"[{""area"": 134, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}]",2,berlanga-badajoz,V,1930
178,Extremadura,Esc.1 Bajo 01,,,,,,,true,38.283096,-5.8313084,1,"9",6930,badajoz,"2512504TH5421S0002BD",Paseo Extremadura,"[{""area"": 178, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}]",2,berlanga-badajoz,V,1930
806,Extremadura,Inmueble,,true,,true,true,,true,38.283184,-5.8312087,1,"10",6930,badajoz,"2512503TH5421S0001PS",Paseo Extremadura,"[{""area"": 394, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 97, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""AAP""}, {""area"": 315, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}]",1,berlanga-badajoz,V,1998
199,Castilla La Mancha,Inmueble,,,,,true,true,true,38.972958,-1.8770282,1,"570",2006,albacete,"397087BXJ0137B0001FO",Terrenos Diseminados,"[{""area"": 24, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 26, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""AAL""}, {""area"": 43, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""KPS""}, {""area"": 106, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}]",1,albacete-albacete,V,1950
133,Castilla La Mancha,Inmueble,,true,,,true,,true,38.998577,-1.8861568,1,"571",2006,albacete,"334053CXJ0134A0001QK",Terrenos Diseminados,"[{""area"": 30, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 45, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 58, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}]",1,albacete-albacete,V,1975
495,Castilla La Mancha,Inmueble,,,,,true,,true,38.97279,-1.8767866,1,"571-A",2006,albacete,"397088BXJ0137B0001IO",Terrenos Diseminados,"[{""area"": 82, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 71, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 35, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 27, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 35, ""floor"": ""01"", ""door"": ""001"", ""typology"": ""AAL""}, {""area"": 64, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 64, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""AAL""}, {""area"": 68, ""floor"": ""00"", ""door"": ""001"", ""typology"": ""V""}, {""area"": 49, ""floor"": ""01"", ""door"": ""001"", ""typology"": ""V""}]",2,albacete-albacete,V,1968
397,Extremadura,Inmueble,,,,,true,,true,38.28286,-5.831158,1,"11",6930,badajoz,"2512601TH5421S0001LS",Paseo Extremadura,"[{""area"": 65, ""floor"": ""00"", ""door"": ""03"", ""typology"": ""A""}, {""area"": 45, ""floor"": ""01"", ""door"": ""03"", ""typology"": ""A""}, {""area"": 75, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 91, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 30, ""floor"": ""01"", ""door"": ""02"", ""typology"": ""AAL""}, {""area"": 91, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}]",1,berlanga-badajoz,V,1900
271,Extremadura,Inmueble,,,,,true,,true,38.282734,-5.83129,1,"12",6930,badajoz,"2512609TH5421S0001XS",Paseo Extremadura,"[{""area"": 116, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""AAL""}, {""area"": 155, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""V""}]",1,berlanga-badajoz,V,1900
212,Extremadura,Inmueble,,,,true,,,true,38.453373,-6.5184937,1,"1",6391,badajoz,"6792507QC1569S0001JU",Paseo Extremadura,"[{""area"": 87, ""floor"": ""00"", ""door"": ""01"", ""typology"": ""AAP""}, {""area"": 15, ""floor"": ""00"", ""door"": ""02"", ""typology"": ""V""}, {""area"": 102, ""floor"": ""01"", ""door"": ""01"", ""typology"": ""V""}, {""area"": 8, ""floor"": ""01"", ""door"": ""02"", ""typology"": ""Y""}]",2,la-lapa-badajoz,V,1997
0,Extremadura,Suelo,,,,,,,false,38.453674,-6.5184646,,"1-A",0,badajoz,"6792512QC1569S0001SU",Paseo Extremadura,"[]",,la-lapa-badajoz,M,
